# Test data for readascii.py


0.000   0.000   0.000   0.000
0.000   0.000   0.000   0.000
0.000   0.000   0.000   0.000
1.000   0.000   0.000   0.000
1.000   1.085   1.000   1.250
1.000   0.839  -0.085  -0.106
1.000   0.908   0.161   0.201
1.000   0.900   0.092   0.116
1.000   0.909   0.100   0.125
1.000   0.914   0.091   0.113
1.000   0.919   0.086   0.108
1.000   0.923   0.081   0.101
1.000   0.927   0.077   0.096
1.000   0.930   0.073   0.091
1.000   0.934   0.070   0.087
1.000   0.936   0.066   0.083
1.000   0.939   0.064   0.079
1.000   0.941   0.061   0.076
1.000   0.944   0.059   0.073
1.000   0.946   0.056   0.070
1.000   0.948   0.054   0.068
1.000   0.950   0.052   0.065
